Name,Author,UR,CR,AR,Year
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,3,3.8,2015
Cutting for Stone,Abraham Verghese,4.6,3,3.8,2010
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,3,3.8,2019
Fahrenheit 451,Ray Bradbury,4.6,3,3.8,2018
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,3,3.8,2013
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,3,3.8,2019
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,3,3.8,2014
"I, Alex Cross",James Patterson,4.6,3,3.8,2009
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,3,3.8,2011
JOURNEY TO THE ICE P,RH Disney,4.6,3,3.8,2014
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,3,3.8,2012
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,3,3.8,2015
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,3,3.8,2012
Ready Player One: A Novel,Ernest Cline,4.6,3,3.8,2018
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,3,3.8,2012
The Book Thief,Markus Zusak,4.6,3,3.8,2013
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3,3.8,2013
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,3,3.8,2012
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,3,3.8,2010
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,3,3.8,2017
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,3,3.8,2018
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,3,3.8,2015
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,3,3.8,2017
What Happened,Hillary Rodham Clinton,4.6,3,3.8,2017
11/22/63: A Novel,Stephen King,4.6,2,3.3,2011
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,2,3.3,2010
All the Light We Cannot See,Anthony Doerr,4.6,2,3.3,2015
Baby Touch and Feel: Animals,DK,4.6,2,3.3,2015
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,2,3.3,2009
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,2,3.3,2009
Divergent,Veronica Roth,4.6,2,3.3,2014
Fahrenheit 451,Ray Bradbury,4.6,2,3.3,2016
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,2,3.3,2019
Going Rogue: An American Life,Sarah Palin,4.6,2,3.3,2009
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,2,3.3,2015
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,2,3.3,2013
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,2,3.3,2016
New Moon (The Twilight Saga),Stephenie Meyer,4.6,2,3.3,2009
Orphan Train,Christina Baker Kline,4.6,2,3.3,2014
Ready Player One: A Novel,Ernest Cline,4.6,2,3.3,2017
Steve Jobs,Walter Isaacson,4.6,2,3.3,2011
Steve Jobs,Walter Isaacson,4.6,2,3.3,2012
The Amateur,Edward Klein,4.6,2,3.3,2012
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,2,3.3,2009
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,2,3.3,2010
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,2,3.3,2012
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,2,3.3,2009
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,2,3.3,2017
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,2,3.3,2019
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,2,3.3,2016
"Thinking, Fast and Slow",Daniel Kahneman,4.6,2,3.3,2012
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,2,3.3,2015
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,2,3.3,2016
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,2,3.3,2017
A Man Called Ove: A Novel,Fredrik Backman,4.6,1,2.8,2017
All the Light We Cannot See,Anthony Doerr,4.6,1,2.8,2014
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,1,2.8,2015
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1,2.8,2015
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,1,2.8,2016
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1,2.8,2010
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,1,2.8,2015
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,1,2.8,2014
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,1,2.8,2015
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,1,2.8,2014
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,1,2.8,2016
Outliers: The Story of Success,Malcolm Gladwell,4.6,1,2.8,2009
Outliers: The Story of Success,Malcolm Gladwell,4.6,1,2.8,2010
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,1,2.8,2012
Sarah's Key,Tatiana de Rosnay,4.6,1,2.8,2010
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,1,2.8,2013
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1,2.8,2010
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,1,2.8,2011
The Book Thief,Markus Zusak,4.6,1,2.8,2014
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,1,2.8,2011
The Mueller Report,The Washington Post,4.6,1,2.8,2019
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,1,2.8,2010
"Thinking, Fast and Slow",Daniel Kahneman,4.6,1,2.8,2011
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,1,2.8,2014
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,4,4.25,2018
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,4,4.25,2011
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,4,4.25,2012
Joyland (Hard Case Crime),Stephen King,4.5,4,4.25,2013
Leonardo da Vinci,Walter Isaacson,4.5,4,4.25,2017
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,4,4.25,2009
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,4,4.25,2011
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,4,4.25,2015
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,4,4.25,2018
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,4,4.25,2016
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,4,4.25,2017
The Silent Patient,Alex Michaelides,4.5,4,4.25,2019
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,3,3.75,2015
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,3,3.75,2014
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,3,3.75,2012
George Washington's Sacred Fire,Peter A. Lillback,4.5,3,3.75,2010
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3,3.75,2012
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3,3.75,2014
Life,Keith Richards,4.5,3,3.75,2010
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,3,3.75,2014
Mockingjay (The Hunger Games),Suzanne Collins,4.5,3,3.75,2010
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,3,3.75,2013
Sycamore Row (Jake Brigance),John Grisham,4.5,3,3.75,2013
The Guardians: A Novel,John Grisham,4.5,3,3.75,2019
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,3,3.75,2015
The Maze Runner (Book 1),James Dashner,4.5,3,3.75,2014
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,3,3.75,2012
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,3,3.75,2014
Water for Elephants: A Novel,Sara Gruen,4.5,3,3.75,2011
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2,3.25,2016
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,2,3.25,2010
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,2,3.25,2013
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2,3.25,2010
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,2,3.25,2012
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,2,3.25,2009
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,2,3.25,2011
Knock-Knock Jokes for Kids,Rob Elliott,4.5,2,3.25,2013
Knock-Knock Jokes for Kids,Rob Elliott,4.5,2,3.25,2015
Little Fires Everywhere,Celeste Ng,4.5,2,3.25,2018
Looking for Alaska,John Green,4.5,2,3.25,2014
Mockingjay (The Hunger Games),Suzanne Collins,4.5,2,3.25,2012
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,2,3.25,2017
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,2,3.25,2012
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,2,3.25,2014
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,2,3.25,2009
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,2,3.25,2012
Capital in the Twenty First Century,Thomas Piketty,4.5,1,2.75,2014
Divergent / Insurgent,Veronica Roth,4.5,1,2.75,2014
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,1,2.75,2009
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,1,2.75,2010
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,1,2.75,2013
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,1,2.75,2013
Mockingjay (The Hunger Games),Suzanne Collins,4.5,1,2.75,2011
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,1,2.75,2010
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,1,2.75,2016
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,1,2.75,2017
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,1,2.75,2019
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,1,2.75,2018
Thirteen Reasons Why,Jay Asher,4.5,1,2.75,2017
True Compass: A Memoir,Edward M. Kennedy,4.5,1,2.75,2009
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,4,4.2,2015
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4,4.2,2013
Fear: Trump in the White House,Bob Woodward,4.4,4,4.2,2018
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,4,4.2,2018
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,4,4.2,2018
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,4,4.2,2017
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4,4.2,2011
The Litigators,John Grisham,4.4,4,4.2,2011
The Official SAT Study Guide,The College Board,4.4,4,4.2,2014
The Time Traveler's Wife,Audrey Niffenegger,4.4,4,4.2,2009
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,3,3.7,2010
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,3,3.7,2016
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,3,3.7,2017
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,3,3.7,2010
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,3,3.7,2011
The Great Gatsby,F. Scott Fitzgerald,4.4,3,3.7,2012
The Official SAT Study Guide,The College Board,4.4,3,3.7,2010
The Official SAT Study Guide,The College Board,4.4,3,3.7,2011
What to Expect When You're Expecting,Heidi Murkoff,4.4,3,3.7,2011
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,3,3.7,2012
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,3,3.7,2013
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,2,3.2,2011
Fifty Shades Darker,E L James,4.4,2,3.2,2012
Food Rules: An Eater's Manual,Michael Pollan,4.4,2,3.2,2010
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,2,3.2,2011
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,2,3.2,2009
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,2,3.2,2010
The Great Gatsby,F. Scott Fitzgerald,4.4,2,3.2,2013
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,2,3.2,2012
The Official SAT Study Guide,The College Board,4.4,2,3.2,2012
The Official SAT Study Guide,The College Board,4.4,2,3.2,2013
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,2,3.2,2018
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,2,3.2,2012
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,1,2.7,2015
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,1,2.7,2019
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,1,2.7,2010
The Great Gatsby,F. Scott Fitzgerald,4.4,1,2.7,2014
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,1,2.7,2009
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,4,4.15,2009
Howard Stern Comes Again,Howard Stern,4.3,4,4.15,2019
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,4,4.15,2013
The Handmaid's Tale,Margaret Atwood,4.3,4,4.15,2017
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,4,4.15,2010
Under the Dome: A Novel,Stephen King,4.3,4,4.15,2009
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,3,3.65,2011
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,3,3.65,2019
The Confession: A Novel,John Grisham,4.3,3,3.65,2010
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,3,3.65,2017
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,3,3.65,2018
And the Mountains Echoed,Khaled Hosseini,4.3,2,3.15,2013
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,2,3.15,2018
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,2,3.15,2010
If I Stay,Gayle Forman,4.3,2,3.15,2014
Origin: A Novel (Robert Langdon),Dan Brown,4.3,2,3.15,2017
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,2,3.15,2012
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2,3.15,2011
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,2,3.15,2018
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,2,3.15,2009
Tina Fey: Bossypants,Tina Fey,4.3,2,3.15,2011
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,1,2.65,2016
The Paris Wife: A Novel,Paula McLain,4.3,1,2.65,2011
The President Is Missing: A Novel,James Patterson,4.3,1,2.65,2018
The Racketeer,John Grisham,4.3,1,2.65,2012
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,3,3.6,2010
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,2,3.1,2010
The Lost Symbol,Dan Brown,4.2,2,3.1,2009
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,1,2.6,2011
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,1,2.6,2018
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1,2.6,2011
Olive Kitteridge,Elizabeth Strout,4.2,1,2.6,2009
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1,2.6,2012
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,3,3.55,2013
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,3,3.55,2011
Inferno,Dan Brown,4.1,2,3.05,2013
Little Bee: A Novel,Chris Cleave,4.1,2,3.05,2010
The Girl on the Train,Paula Hawkins,4.1,1,2.55,2015
The Girl on the Train,Paula Hawkins,4.1,1,2.55,2016
Gone Girl,Gillian Flynn,4.0,4,4.0,2012
StrengthsFinder 2.0,Gallup,4.0,4,4.0,2009
StrengthsFinder 2.0,Gallup,4.0,4,4.0,2010
StrengthsFinder 2.0,Gallup,4.0,4,4.0,2013
StrengthsFinder 2.0,Gallup,4.0,4,4.0,2014
StrengthsFinder 2.0,Gallup,4.0,4,4.0,2015
StrengthsFinder 2.0,Gallup,4.0,4,4.0,2016
The Elegance of the Hedgehog,Muriel Barbery,4.0,4,4.0,2009
Gone Girl,Gillian Flynn,4.0,2,3.0,2013
Gone Girl,Gillian Flynn,4.0,2,3.0,2014
StrengthsFinder 2.0,Gallup,4.0,2,3.0,2012
StrengthsFinder 2.0,Gallup,4.0,2,3.0,2017
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,1,2.5,2016
StrengthsFinder 2.0,Gallup,4.0,1,2.5,2011
Allegiant,Veronica Roth,3.9,4,3.95,2013
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,3,3.45,2014
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,2,2.95,2013
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,4,3.9,2013
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,2,2.9,2012
Go Set a Watchman: A Novel,Harper Lee,3.6,4,3.8,2015
The Casual Vacancy,J.K. Rowling,3.3,2,2.65,2012
